date,ticker,open_p,entry,stop,target,exit_price,gross_pct,net_pnl,outcome,portfolio
2021-05-31,DLEKG.TA,18087.224101336706,18123.3985,18050.905,18340.8793,18050.905,-0.4,-166.75,stop,100896.42
2021-05-31,NVMI.TA,32730.0,32795.46,32664.2782,33189.0055,32664.2782,-0.4,-166.48,stop,100729.94
2021-06-01,ILCO.TA,101967.87832789838,102171.8141,101763.1268,103397.8759,103397.8759,1.2,317.3,target,101047.24
2021-06-01,ICL.TA,2354.0372910610463,2358.7454,2349.3104,2387.0503,2349.3104,-0.4,-166.73,stop,100880.51
2021-06-01,DLEKG.TA,17598.64969066113,17633.847,17563.3116,17845.4532,17563.3116,-0.4,-166.45,stop,100714.06
2021-06-01,ELCO.TA,18647.731065802847,18685.0265,18610.2864,18909.2468,18610.2864,-0.4,-166.18,stop,100547.88
2021-06-02,ILCO.TA,102647.66732330467,102852.9627,102441.5508,104087.1982,104087.1982,1.2,316.73,target,100864.61
2021-06-02,DLEKG.TA,17259.638138277624,17294.1574,17224.9808,17501.6873,17224.9808,-0.4,-166.43,stop,100698.18
2021-06-02,FIBI.TA,10306.975252680906,10327.5892,10286.2788,10451.5203,10451.5203,1.2,317.2,target,101015.38
2021-06-03,CAMT.TA,12229.47517067408,12253.9341,12204.9184,12400.9813,12204.9184,-0.4,-166.68,stop,100848.7
2021-06-03,SPEN.TA,2523.571095470815,2528.6182,2518.5038,2558.9617,2518.5038,-0.4,-166.4,stop,100682.3
2021-06-03,FIBI.TA,10506.528903856915,10527.542,10485.4318,10653.8725,10653.8725,1.2,317.15,target,100999.45
2021-06-03,ALHE.TA,4653.816518366764,4663.1242,4644.4717,4719.0816,4644.4717,-0.4,-166.65,stop,100832.8
2021-06-07,ILCO.TA,107716.06971293605,107931.5019,107499.7758,109226.6799,107499.7758,-0.4,-166.37,stop,100666.43
2021-06-07,ICL.TA,2427.027303361304,2431.8814,2422.1538,2461.0639,2422.1538,-0.4,-166.1,stop,100500.33
2021-06-07,NVMI.TA,33060.0,33126.12,32993.6155,33523.6334,32993.6155,-0.4,-165.83,stop,100334.5
2021-06-07,LUMI.TA,2519.926895266625,2524.9667,2514.8669,2555.2664,2555.2664,1.2,316.05,target,100650.56
2021-06-08,BEZQ.TA,370.25560206072817,370.9961,369.5121,375.4481,369.5121,-0.4,-166.07,stop,100484.48
2021-06-08,TEVA.TA,3498.0,3504.996,3490.976,3547.056,3490.976,-0.4,-165.8,stop,100318.68
2021-06-09,CAMT.TA,12749.452536022616,12774.9514,12723.8516,12928.2509,12928.2509,1.2,316.0,target,100634.69
2021-06-09,BEZQ.TA,366.06294504376126,366.7951,365.3279,371.1966,365.3279,-0.4,-166.05,stop,100468.64
2021-06-09,SPEN.TA,2415.5894370539463,2420.4206,2410.7389,2449.4657,2410.7389,-0.4,-165.77,stop,100302.87
2021-06-14,ILCO.TA,105966.61185747663,106178.5451,105753.8309,107452.6876,107452.6876,1.2,315.95,target,100618.82
2021-06-14,FIBI.TA,10736.014270064576,10757.4863,10714.4564,10886.5761,10714.4564,-0.4,-166.02,stop,100452.8
2021-06-14,TEVA.TA,3590.0,3597.18,3582.7913,3640.3462,3582.7913,-0.4,-165.75,stop,100287.05
2021-06-14,LUMI.TA,2539.9024898558623,2544.9823,2534.8024,2575.5221,2575.5221,1.2,315.9,target,100602.96
2021-06-15,DLEKG.TA,18047.342570118664,18083.4373,18011.1035,18300.4385,18300.4385,1.2,316.9,target,100919.86
2021-06-15,BEZQ.TA,363.36758213827056,364.0943,362.6379,368.4634,362.6379,-0.4,-166.52,stop,100753.34
2021-06-16,DLEKG.TA,18486.060997925808,18523.0331,18448.941,18745.3095,18448.941,-0.4,-166.24,stop,100587.1
2021-06-16,ENLT.TA,6674.0,6687.348,6660.5986,6767.5962,6660.5986,-0.4,-165.97,stop,100421.13
2021-06-17,ENLT.TA,6691.0,6704.382,6677.5645,6784.8346,6677.5645,-0.4,-165.69,stop,100255.43
2021-06-21,BEZQ.TA,377.34328453563086,378.098,376.5856,382.6351,376.5856,-0.4,-165.42,stop,100090.01
2021-06-22,BEZQ.TA,373.9491467438144,374.697,373.1983,379.1934,373.1983,-0.4,-165.15,stop,99924.86
2021-06-22,ENLT.TA,6755.0,6768.51,6741.436,6849.7321,6849.7321,1.2,314.76,target,100239.63
2021-06-22,NICE.TA,73220.0,73366.44,73072.9742,74246.8373,74246.8373,1.2,315.75,target,100555.38
2021-06-23,DLEKG.TA,18914.80730943454,18952.6369,18876.8264,19180.0686,19180.0686,1.2,316.75,target,100872.13
2021-06-23,ELCO.TA,18847.5968437175,18885.292,18809.7509,19111.9155,19111.9155,1.2,317.75,target,101189.88
2021-06-23,ENLT.TA,6987.0,7000.974,6972.9701,7084.9857,6972.9701,-0.4,-166.96,stop,101022.91
2021-06-23,ILCO.TA,102767.62621006777,102973.1615,102561.2688,104208.8394,102561.2688,-0.4,-166.69,stop,100856.23
2021-06-24,ELCO.TA,19217.356051048137,19255.7908,19178.7676,19486.8603,19178.7676,-0.4,-166.41,stop,100689.81
2021-06-24,DLEKG.TA,19453.23690435429,19492.1434,19414.1748,19726.0491,19414.1748,-0.4,-166.14,stop,100523.68
2021-06-24,ENLT.TA,6980.0,6993.96,6965.9842,7077.8875,6965.9842,-0.4,-165.86,stop,100357.81
2021-06-28,NICE.TA,79510.0,79669.02,79350.3439,80625.0482,79350.3439,-0.4,-165.59,stop,100192.22
2021-06-28,ELCO.TA,19427.219165039063,19466.0736,19388.2093,19699.6665,19388.2093,-0.4,-165.32,stop,100026.9
2021-06-28,DLEKG.TA,18835.041159018987,18872.7112,18797.2204,19099.1838,19099.1838,1.2,315.08,target,100341.99
2021-06-28,NVMI.TA,33300.0,33366.6,33233.1336,33766.9992,33233.1336,-0.4,-165.56,stop,100176.42
2021-06-29,ISCN.TA,1317.5592573920767,1320.1944,1314.9136,1336.0367,1314.9136,-0.4,-165.29,stop,100011.13
2021-06-30,ENLT.TA,6930.0,6943.86,6916.0846,7027.1863,7027.1863,1.2,315.04,target,100326.17
2021-07-01,DLEKG.TA,21786.425032806048,21829.9979,21742.6779,22091.9579,21742.6779,-0.4,-165.54,stop,100160.63
2021-07-01,HARL.TA,3231.776405074003,3238.24,3225.287,3277.0988,3225.287,-0.4,-165.27,stop,99995.37
2021-07-05,NICE.TA,82860.0,83025.72,82693.6171,84022.0286,82693.6171,-0.4,-164.99,stop,99830.37
2021-07-05,ISCN.TA,1383.5373135344078,1386.3044,1380.7592,1402.94,1402.94,1.2,314.47,target,100144.84
2021-07-05,PHOE.TA,3161.546904481132,3167.87,3155.1985,3205.8844,3155.1985,-0.4,-165.24,stop,99979.6
2021-07-05,POLI.TA,2696.0945743709417,2701.4868,2690.6808,2733.9046,2690.6808,-0.4,-164.97,stop,99814.63
2021-07-06,DLEKG.TA,22035.70200354559,22079.7734,21991.4543,22344.7307,21991.4543,-0.4,-164.69,stop,99649.94
2021-07-06,ISCN.TA,1434.5201625918066,1437.3892,1431.6396,1454.6379,1431.6396,-0.4,-164.42,stop,99485.52
2021-07-07,ISCN.TA,1428.5220361293907,1431.3791,1425.6536,1448.5556,1425.6536,-0.4,-164.15,stop,99321.37
2021-07-12,MGDL.TA,450.9370466265734,451.8389,450.0316,457.261,450.0316,-0.4,-163.88,stop,99157.49
2021-07-13,AZRG.TA,24988.593126247506,25038.5703,24938.416,25339.0332,25339.0332,1.2,312.35,target,99469.83
2021-07-13,PHOE.TA,3170.5280341297675,3176.8691,3164.1616,3214.9915,3164.1616,-0.4,-164.13,stop,99305.71
